1743184275.083,-0.6164,1.1679,0.3948,-1.9982
1743184275.099,-0.6164,1.1679,0.3948,-1.9981
1743184275.117,-0.6164,1.1679,0.3948,-1.9981
1743184275.132,-0.6164,1.1679,0.3948,-1.9981
1743184275.152,-0.6164,1.1679,0.3948,-1.9981
1743184275.166,-0.6164,1.1679,0.3948,-1.9981
1743184275.183,-0.6164,1.1679,0.3948,-1.9981
1743184275.199,-0.6164,1.1679,0.3948,-1.9981
1743184275.215,-0.6164,1.1679,0.3948,-1.9982
1743184275.232,-0.6164,1.1680,0.3948,-1.9982
1743184275.249,-0.6164,1.1679,0.3948,-1.9981
1743184275.266,-0.6164,1.1680,0.3948,-1.9981
1743184275.283,-0.6164,1.1680,0.3948,-1.9981
1743184275.299,-0.6164,1.1680,0.3948,-1.9981
1743184275.308,-0.6164,1.1679,0.3948,-1.9981
1743184275.335,-0.6164,1.1679,0.3948,-1.9981
1743184275.349,-0.6164,1.1679,0.3948,-1.9981
1743184275.367,-0.6164,1.1679,0.3948,-1.9981
1743184275.382,-0.6164,1.1679,0.3948,-1.9981
1743184275.399,-0.6164,1.1679,0.3948,-1.9981
1743184275.415,-0.6164,1.1680,0.3948,-1.9981
1743184275.432,-0.6164,1.1679,0.3948,-1.9981
1743184275.449,-0.6164,1.1680,0.3948,-1.9981
1743184275.465,-0.6164,1.1679,0.3948,-1.9981
1743184275.482,-0.6164,1.1679,0.3948,-1.9982
1743184275.500,-0.6164,1.1679,0.3948,-1.9981
1743184275.516,-0.6164,1.1679,0.3948,-1.9981
1743184275.536,-0.6164,1.1679,0.3948,-1.9981
1743184275.549,-0.6164,1.1679,0.3948,-1.9981
1743184275.568,-0.6164,1.1680,0.3948,-1.9981
1743184275.583,-0.6164,1.1679,0.3948,-1.9981
1743184275.603,-0.6164,1.1680,0.3948,-1.9982
1743184275.617,-0.6164,1.1680,0.3948,-1.9981
1743184275.632,-0.6164,1.1679,0.3948,-1.9981
1743184275.648,-0.6164,1.1679,0.3948,-1.9981
1743184275.657,-0.6164,1.1679,0.3948,-1.9981
1743184275.684,-0.6164,1.1680,0.3948,-1.9981
1743184275.700,-0.6164,1.1680,0.3948,-1.9982
1743184275.717,-0.6164,1.1679,0.3948,-1.9982
1743184275.735,-0.6164,1.1679,0.3948,-1.9981
1743184275.753,-0.6164,1.1679,0.3948,-1.9981
1743184275.767,-0.6164,1.1680,0.3948,-1.9981
1743184275.784,-0.6164,1.1679,0.3948,-1.9981
1743184275.800,-0.6164,1.1679,0.3948,-1.9981
1743184275.816,-0.6164,1.1679,0.3948,-1.9982
1743184275.834,-0.6164,1.1679,0.3948,-1.9981
1743184275.849,-0.6164,1.1679,0.3948,-1.9981
1743184275.866,-0.6164,1.1679,0.3948,-1.9981
1743184275.882,-0.6164,1.1679,0.3948,-1.9981
1743184275.900,-0.6164,1.1679,0.3948,-1.9982
1743184275.917,-0.6164,1.1680,0.3948,-1.9981
1743184275.925,-0.6164,1.1679,0.3948,-1.9981
1743184275.950,-0.6164,1.1679,0.3948,-1.9981
1743184275.967,-0.6164,1.1679,0.3948,-1.9981
1743184275.984,-0.6164,1.1679,0.3948,-1.9981
1743184276.000,-0.6164,1.1679,0.3948,-1.9981
1743184276.016,-0.6164,1.1679,0.3948,-1.9981
1743184276.033,-0.6164,1.1679,0.3948,-1.9981
1743184276.050,-0.6164,1.1679,0.3948,-1.9981
1743184276.066,-0.6164,1.1679,0.3948,-1.9981
1743184276.083,-0.6164,1.1679,0.3948,-1.9981
1743184276.099,-0.6164,1.1679,0.3948,-1.9981
1743184276.116,-0.6164,1.1679,0.3948,-1.9981
1743184276.125,-0.6164,1.1680,0.3948,-1.9981
1743184276.149,-0.6164,1.1680,0.3948,-1.9981
1743184276.168,-0.6164,1.1680,0.3948,-1.9981
1743184276.183,-0.6164,1.1679,0.3948,-1.9981
1743184276.199,-0.6164,1.1679,0.3948,-1.9981
1743184276.215,-0.6164,1.1679,0.3948,-1.9981
1743184276.232,-0.6164,1.1679,0.3948,-1.9981
1743184276.248,-0.6164,1.1679,0.3948,-1.9981
1743184276.266,-0.6164,1.1679,0.3948,-1.9981
1743184276.282,-0.6164,1.1679,0.3948,-1.9981
1743184276.299,-0.6164,1.1679,0.3948,-1.9981
1743184276.318,-0.6164,1.1679,0.3948,-1.9981
1743184276.333,-0.6164,1.1680,0.3948,-1.9981
1743184276.351,-0.6164,1.1679,0.3948,-1.9982
1743184276.366,-0.6164,1.1679,0.3948,-1.9981
1743184276.383,-0.6164,1.1679,0.3948,-1.9981
1743184276.399,-0.6164,1.1679,0.3948,-1.9981
1743184276.416,-0.6164,1.1679,0.3948,-1.9981
1743184276.432,-0.6164,1.1680,0.3948,-1.9981
1743184276.449,-0.6164,1.1679,0.3948,-1.9981
1743184276.465,-0.6164,1.1679,0.3948,-1.9981
1743184276.482,-0.6164,1.1679,0.3948,-1.9981
1743184276.499,-0.6164,1.1679,0.3948,-1.9981
1743184276.516,-0.6164,1.1679,0.3948,-1.9981
1743184276.532,-0.6164,1.1679,0.3948,-1.9981
1743184276.550,-0.6164,1.1679,0.3948,-1.9981
1743184276.566,-0.6164,1.1679,0.3948,-1.9981
1743184276.583,-0.6164,1.1679,0.3948,-1.9981
1743184276.599,-0.6164,1.1679,0.3948,-1.9981
1743184276.617,-0.6164,1.1679,0.3948,-1.9981
1743184276.632,-0.6164,1.1679,0.3948,-1.9981
1743184276.649,-0.6164,1.1679,0.3948,-1.9982
1743184276.666,-0.6164,1.1679,0.3948,-1.9981
1743184276.683,-0.6164,1.1680,0.3948,-1.9981
1743184276.707,-0.6164,1.1679,0.3948,-1.9981
1743184276.716,-0.6164,1.1679,0.3948,-1.9981
1743184276.736,-0.6164,1.1679,0.3948,-1.9982
1743184276.750,-0.6164,1.1679,0.3948,-1.9981
1743184276.768,-0.6164,1.1679,0.3948,-1.9982
1743184276.783,-0.6164,1.1679,0.3948,-1.9981
